sentence,source,href
天道循环，无往不复。,《花月痕·第一回》,/mingju/juv_4e4ff28b1c37.aspx
用兵之害，犹豫最大，三军之灾，生于狐疑。,《吴子·治兵》,/mingju/juv_75aa8b13e008.aspx
处大无患者恒多慢，处小有忧者恒思善,《三国志·蜀书·杜周杜许孟来尹李谯郤传》,/mingju/juv_b781250a5e0e.aspx
安身为乐，无忧为福,《三国志·蜀书·许麋孙简伊秦传》,/mingju/juv_c90ccb74987b.aspx
情不知所起，一往而深。,汤显祖《牡丹亭记题词》,/mingju/juv_cbf5d2c6696a.aspx
相逢祗有梦魂间，可奈梦随春漏短，不到江南。,韩疁《浪淘沙·莫上玉楼看》,/mingju/juv_8c58b8d92b34.aspx
伤身事莫做，伤心话莫说。,《增广贤文·下集》,/mingju/juv_d4f4e34eec70.aspx
以卵投石也。尽天下之卵，其石犹是也，不可毁也,《墨子·47章 贵义》,/mingju/juv_ec83f112eb7d.aspx
鸟道高原去，人烟小径通。,张祜《题松汀驿》,/mingju/juv_95027834e0fc.aspx
定国之术在于强兵足食,《晋书·志·第十六章》,/mingju/juv_cc05505d6e20.aspx
不得中行而与之，必也狂狷乎！狂者进取，狷者有所不为也。,《论语·子路篇》,/mingju/juv_4c69cc7159f9.aspx
四时有不谢之花，八节有长青之草。,《镜花缘·第一回》,/mingju/juv_c03652b3aff1.aspx
世情薄，人情恶，雨送黄昏花易落。,唐婉《钗头凤·世情薄》,/mingju/juv_7c8f6136e9de.aspx
酹酒苍茫，倚歌平远，亭上玉虹腰冷。,吴文英《十二郎·垂虹桥》,/mingju/juv_31b97c7e7601.aspx
仁义不施而攻守之势异也。,贾谊《过秦论》,/mingju/juv_6571e5375d8e.aspx
苍穹浩茫茫，万劫太极长。,李白《短歌行》,/mingju/juv_e089380fe0e1.aspx
檀郎谢女眠何处？楼台月明燕夜语。,李贺《牡丹种曲》,/mingju/juv_23b77886892e.aspx
备豫不虞，善之大者也。,《左传·成公·成公九年》,/mingju/juv_64df14691b97.aspx
诗者，志之所之也。,佚名《古代文论选段》,/mingju/juv_410d008a2f6f.aspx
苑上梅花二度，堂中瑟韵重调。,,/mingju/juv_fa308660fbbe.aspx
为问东风余几许？春纵在，与谁同！,苏轼《江神子·恨别》,/mingju/juv_61cc656abe22.aspx
人人夸你春来早，欠我风筝五丈风。,孔尚任《风筝》,/mingju/juv_3753ccdc414e.aspx
言不取苟合，行不取苟容，行义不图毁誉,《战国策·秦三·蔡泽见逐于赵》,/mingju/juv_4815bc6016ac.aspx
国危主忧，说者成伍，无益于安危也。,《商君书·农战》,/mingju/juv_d37117935336.aspx
霜风渐欲作重阳，熠熠溪边野菊香。,苏轼《捕蝗至浮云岭山行疲苶有怀子由弟二首·其二》,/mingju/juv_dbb69ec29092.aspx
蔷薇花谢绿窗前。,晁端礼《浣溪沙·清润风光雨后天》,/mingju/juv_7f96bef22b54.aspx
善无主于心者不留，行莫辩于身者不立；名不可简而成也，誉不可巧而立也，君子以身戴行者也。,《墨子·02章 修身》,/mingju/juv_22f1592ceeda.aspx
总是离人泪。,王实甫《长亭送别》,/mingju/juv_c1d7a062b558.aspx
道是天公不惜花，百种千般巧。,刘克庄《卜算子·片片蝶衣轻》,/mingju/juv_0594784c42c8.aspx
公子王孙逐后尘，绿珠垂泪滴罗巾。,崔郊《赠去婢》,/mingju/juv_203cbd769687.aspx
花落正啼鸦，鸦啼正落花。,纳兰性德《菩萨蛮·雾窗寒对遥天暮》,/mingju/juv_2002d89171d8.aspx
立志用功，如种树然。方其根芽，犹未有干。及其有干，尚未有枝。枝而后叶。叶而后花实。,《传习录·卷上·门人陆澄录》,/mingju/juv_84aee1c4b2b0.aspx
浩荡离愁白日斜，吟鞭东指即天涯。,龚自珍《己亥杂诗·其五》,/mingju/juv_d46084aab58f.aspx
人各有能，因艺授任,《后汉书·列传·张衡列传》,/mingju/juv_eeabd925e887.aspx
漠漠帆来重，冥冥鸟去迟。,韦应物《赋得暮雨送李胄 / 赋得暮雨送李曹》,/mingju/juv_6f8ae105e03e.aspx
新台有泚，河水弥弥。,佚名《国风·邶风·新台》,/mingju/juv_88c2b78dbd13.aspx
东南第一名州，西湖自古多佳丽。,陈德武《水龙吟·西湖怀古》,/mingju/juv_4c0f77886437.aspx
丈夫三十未富贵，安能终日守笔砚。,岑参《银山碛西馆》,/mingju/juv_da3856c66ec7.aspx
宁可人负我，切莫我负人。,《增广贤文·上集》,/mingju/juv_d15e14535409.aspx
千里搭长棚，没有不散的筵席。,《红楼梦·第七十二回》,/mingju/juv_9507bb1b4871.aspx
惊雷势欲拨三山，急雨声如倒百川。,洪炎《次韵公实雷雨》,/mingju/juv_2c3e0638022b.aspx
